"","id","decimalLongitude","decimalLatitude","catalogNumber","datasetName","obisID","scientificNameID","genus","family","order","species","speciesID","sex","datasetID"
"30081",1147082270,-58.4,47.1,"280_35482","PIROP Northwest Atlantic 1965-1992",460257,"urn:lsid:marinespecies.org:taxname:137146","Larus","Laridae","Charadriiformes","Larus marinus",460257,NA,"280"
"30082",1147082271,-58.4,47.1,"280_35486","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30083",1147082294,-59.7,46.9167,"280_19683","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
"30084",1147082295,-59.7,46.9167,"280_19682","PIROP Northwest Atlantic 1965-1992",460257,"urn:lsid:marinespecies.org:taxname:137146","Larus","Laridae","Charadriiformes","Larus marinus",460257,NA,"280"
"30085",1147082619,-58.4,47.1,"280_35488","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
"30086",1147082620,-58.4,47.1,"280_35489","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
"30087",1147082621,-58.4,47.1,"280_35481","PIROP Northwest Atlantic 1965-1992",460246,"urn:lsid:marinespecies.org:taxname:159075","Larus","Laridae","Charadriiformes","Larus glaucoides",460245,NA,"280"
"30088",1147082622,-58.4,47.1,"280_35487","PIROP Northwest Atlantic 1965-1992",460246,"urn:lsid:marinespecies.org:taxname:159075","Larus","Laridae","Charadriiformes","Larus glaucoides",460245,NA,"280"
"30089",1147083190,-60.1167,46.9833,"280_62650","PIROP Northwest Atlantic 1965-1992",523959,"urn:lsid:marinespecies.org:taxname:137134","Uria","Alcidae","Charadriiformes","Uria lomvia",523959,NA,"280"
"30090",1147083593,-59.5167,47.35,"280_74078","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30091",1147083594,-59.5167,47.35,"280_74077","PIROP Northwest Atlantic 1965-1992",501467,"urn:lsid:marinespecies.org:taxname:137065","Puffinus","Procellariidae","Procellariiformes",NA,NA,NA,"280"
"30092",1147083595,-59.5167,47.35,"280_74076","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30093",1147083747,-59.6333,47.4167,"280_62432","PIROP Northwest Atlantic 1965-1992",460223,"urn:lsid:marinespecies.org:taxname:137043","Larus","Laridae","Charadriiformes",NA,NA,NA,"280"
"30094",1147083748,-59.6333,47.4167,"280_62433","PIROP Northwest Atlantic 1965-1992",460246,"urn:lsid:marinespecies.org:taxname:159075","Larus","Laridae","Charadriiformes","Larus glaucoides",460245,NA,"280"
"30095",1147083749,-59.6333,47.4167,"280_62431","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30096",1147083750,-59.8333,46.6667,"280_63183","PIROP Northwest Atlantic 1965-1992",663416,"urn:lsid:marinespecies.org:taxname:137202","Puffinus","Procellariidae","Procellariiformes","Puffinus griseus",663416,NA,"280"
"30097",1147083751,-59.8333,46.6667,"280_63184","PIROP Northwest Atlantic 1965-1992",663416,"urn:lsid:marinespecies.org:taxname:137202","Puffinus","Procellariidae","Procellariiformes","Puffinus griseus",663416,NA,"280"
"30098",1147083752,-59.8333,46.6667,"280_63187","PIROP Northwest Atlantic 1965-1992",460257,"urn:lsid:marinespecies.org:taxname:137146","Larus","Laridae","Charadriiformes","Larus marinus",460257,NA,"280"
"30099",1147083753,-59.8333,46.6667,"280_63186","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
"30100",1147083754,-59.8333,46.6667,"280_63181","PIROP Northwest Atlantic 1965-1992",650174,"urn:lsid:marinespecies.org:taxname:137190","Oceanites","Hydrobatidae","Procellariiformes","Oceanites oceanicus",650174,NA,"280"
"30101",1147083755,-59.8333,46.6667,"280_63185","PIROP Northwest Atlantic 1965-1992",663421,"urn:lsid:marinespecies.org:taxname:137203","Puffinus","Procellariidae","Procellariiformes","Puffinus puffinus",663421,NA,"280"
"30102",1147083756,-59.8333,46.6667,"280_63182","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30103",1147083926,-60.05,46.9667,"280_42379","PIROP Northwest Atlantic 1965-1992",460257,"urn:lsid:marinespecies.org:taxname:137146","Larus","Laridae","Charadriiformes","Larus marinus",460257,NA,"280"
"30104",1147083927,-60.05,46.9667,"280_42378","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
"30105",1147083990,-59.7833,47.3,"280_62237","PIROP Northwest Atlantic 1965-1992",460246,"urn:lsid:marinespecies.org:taxname:159075","Larus","Laridae","Charadriiformes","Larus glaucoides",460245,NA,"280"
"30106",1147083991,-59.7833,47.3,"280_62236","PIROP Northwest Atlantic 1965-1992",460257,"urn:lsid:marinespecies.org:taxname:137146","Larus","Laridae","Charadriiformes","Larus marinus",460257,NA,"280"
"30107",1147084112,-59.5667,47.2167,"280_43881","PIROP Northwest Atlantic 1965-1992",479822,"urn:lsid:marinespecies.org:taxname:137192","Oceanodroma","Hydrobatidae","Procellariiformes","Oceanodroma leucorhoa",479822,NA,"280"
"30108",1147084113,-59.5667,47.2167,"280_43882","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30109",1147084114,-59.5667,47.2167,"280_43879","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
"30110",1147084115,-59.5667,47.2167,"280_43880","PIROP Northwest Atlantic 1965-1992",479822,"urn:lsid:marinespecies.org:taxname:137192","Oceanodroma","Hydrobatidae","Procellariiformes","Oceanodroma leucorhoa",479822,NA,"280"
"30111",1147084385,-58.0833,47,"280_42080","PIROP Northwest Atlantic 1965-1992",479818,"urn:lsid:marinespecies.org:taxname:137060","Oceanodroma","Hydrobatidae","Procellariiformes",NA,NA,NA,"280"
"30112",1147084386,-58.0833,47,"280_42082","PIROP Northwest Atlantic 1965-1992",479822,"urn:lsid:marinespecies.org:taxname:137192","Oceanodroma","Hydrobatidae","Procellariiformes","Oceanodroma leucorhoa",479822,NA,"280"
"30113",1147084387,-58.0833,47,"280_42083","PIROP Northwest Atlantic 1965-1992",460257,"urn:lsid:marinespecies.org:taxname:137146","Larus","Laridae","Charadriiformes","Larus marinus",460257,NA,"280"
"30114",1147084388,-58.0833,47,"280_42078","PIROP Northwest Atlantic 1965-1992",663416,"urn:lsid:marinespecies.org:taxname:137202","Puffinus","Procellariidae","Procellariiformes","Puffinus griseus",663416,NA,"280"
"30115",1147084389,-58.0833,47,"280_42081","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30116",1147084396,-58.0833,47,"280_42079","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
"30117",1147084544,-59.6333,47,"280_19685","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
